,ISO,Country,acct_bal,lend_borr,GDP_pc_cp,GDP_conp,GDP_currp,Inflation_avg,Inflation_eop,Country_name,cases,deaths,population,Death rate
924,PER,Peru,-1.363,-1.368,-0.919,2.162,476.014,2.136,1.9,Peru,821564,32609,32510462,0.039691369
931,PHL,Philippines,-0.129,-1.926,4.272,5.905,"1,027.19",2.48,2.523,Philippines,316678,5616,108116622,0.017734102
910,PNG,Papua New Guinea,24.107,-4.139,2.88,5.026,34.617,3.76,3.369,Papua_New_Guinea,539,7,8776119,0.012987013
938,POL,Poland,0.489,-0.708,4.105,4.095,"1,287.28",2.308,3.4,Poland,95773,2570,37972812,0.026834285
952,PRI,Puerto Rico,-2.326,-2.589,3.03,2,130.925,0.733,0.733,Puerto_Rico,49067,665,2933404,0.013552897
945,PRT,Portugal,-0.085,0.19,2.197,2.157,346.926,0.3,0.369,Portugal,77284,1983,10276617,0.02565861
917,PRY,Paraguay,-0.978,-3.883,-1.197,0.2,96.306,2.757,2.81,Paraguay,42684,890,7044639,0.020850904
973,ROU,Romania,-4.719,-4.583,4.751,4.078,549.195,3.825,4.047,Romania,132001,4915,19414458,0.037234566
980,RUS,Russia,3.822,1.934,1.385,1.336,"4,389.96",4.47,3.046,Russia,1194643,21077,145872260,0.017642928
987,RWA,Rwanda,-9.233,-5.181,7.531,10.063,30.971,2.426,6.731,Rwanda,4847,29,12626938,0.005983082
1015,SAU,Saudi Arabia,6.286,-4.452,-1.636,0.331,"1,900.89",-1.212,0.247,Saudi_Arabia,335578,4823,34268529,0.014372217
1127,SDN,Sudan,-14.932,-10.818,-5.312,-2.521,175.228,50.994,57.011,Sudan,13653,836,42813237,0.061231964
1022,SEN,Senegal,-9.137,-3.888,2.372,5.287,64.101,1.02,0.638,Senegal,15051,312,16296362,0.02072952
1050,SGP,Singapore,16.97,3.842,-0.413,0.733,593.802,0.565,0.761,Singapore,57794,27,5804343,0.000467177
1043,SLE,Sierra Leone,-13.929,-2.861,2.93,5.124,13.089,14.803,13.892,Sierra_Leone,2252,72,7813207,0.031971581
343,SLV,El Salvador,-2.064,-2.919,1.857,2.385,55.578,0.074,-0.009,El_Salvador,29175,853,6453550,0.029237361
1008,SMR,San Marino,0.717,-2.483,0.582,1.1,2.084,0.951,0.951,San_Marino,732,42,34453,0.057377049
1029,SRB,Serbia,-6.883,-0.005,4.469,4.187,130.222,1.85,1.85,Serbia,33735,751,6963764,0.022261746
1085,SSD,South Sudan,-2.54,-0.271,7.937,11.283,22.092,51.187,30.019,South_Sudan,2715,50,11062114,0.018416206
994,STP,S„o TomÈ and PrÌncipe,-12.281,-1.758,-0.601,1.302,0.745,8.356,7.724,Sao_Tome_and_Principe,911,15,215048,0.016465423
1134,SUR,Suriname,-10.711,-8.537,1.087,2.3,9.358,4.392,4.215,Suriname,4899,105,581363,0.021432945
1057,SVK,Slovak Republic,-3.175,-1.26,2.139,2.276,198.382,2.767,3.217,Slovakia,11617,54,5450421,0.00464836
1064,SVN,Slovenia,6.563,0.533,2.394,2.443,79.179,1.628,1.841,Slovenia,6103,140,2080908,0.022939538
1141,SWE,Sweden,3.905,0.404,0.277,1.232,564.771,1.699,1.716,Sweden,94283,5895,10230185,0.062524527
371,SWZ,Eswatini,6.163,-8.04,0.046,1.037,12.407,2.584,1.974,Eswatini,5521,111,1148133,0.020105053
1036,SYC,Seychelles,-16.682,0.884,2.918,3.901,3.06,1.807,1.692,Seychelles,144,0,97741,0
224,TCD,Chad,-4.873,-0.172,-0.068,2.96,31.913,-0.972,-1.679,Chad,1211,85,15946882,0.070189926
1204,TGO,Togo,-4.261,2.134,2.716,5.3,14.972,0.687,-0.329,Togo,1818,48,8082359,0.02640264
1176,THA,Thailand,6.862,-0.816,2.19,2.372,"1,377.54",0.706,0.875,Thailand,3583,59,69625581,0.016466648
1162,TJK,Tajikistan,-3.34,-2.101,5.362,7.5,34.131,7.802,8,Tajikistan,9852,77,9321023,0.007815672
1197,TLS,Timor-Leste,8.209,-32.075,0.762,3.1,2.017,0.142,0.299,Timor_Leste,28,0,1293120,0
1218,TTO,Trinidad and Tobago,5.111,-3.692,-0.37,-0.002,44.946,1.001,0.37,Trinidad_and_Tobago,4629,76,1394969,0.016418233
1225,TUN,Tunisia,-8.796,-3.892,-0.02,1.043,148.688,6.722,6.078,Tunisia,19721,271,11694721,0.013741697
1232,TUR,Turkey,1.066,-5.261,-0.46,0.937,"2,361.78",15.177,11.836,Turkey,321512,8325,82003882,0.025893279
1169,TZA,Tanzania,-3.236,-2.857,3.169,6.269,193.504,3.449,3.849,United_Republic_of_Tanzania,509,21,58005461,0.041257367
1253,UGA,Uganda,-9.503,-6.744,2.285,4.92,118.694,2.869,3.558,Uganda,8491,79,44269587,0.009303969
1260,UKR,Ukraine,-0.693,-2.045,3.74,3.173,409.825,7.886,4.054,Ukraine,217661,4261,43993643,0.019576314
1288,URY,Uruguay,0.226,-2.933,-0.136,0.222,82.791,7.882,8.788,Uruguay,2097,48,3461731,0.022889843
1281,USA,United States,-2.326,-5.782,1.842,2.334,"21,427.68",1.812,1.902,United_States_of_America,7332285,208716,329064917,0.028465342
1295,UZB,Uzbekistan,-5.604,0.015,3.699,5.6,303.317,14.53,15.234,Uzbekistan,57776,475,32981715,0.008221407
1120,VCT,St. Vincent and the Grenadines,-10.113,-2.383,0.299,0.4,1.381,0.906,0.451,Saint_Vincent_and_the_Grenadines,64,0,110593,0
1309,VEN,Venezuela,9.825,-10.007,-32.135,-35,202.009,"19,906.02","9,585.49",Venezuela,76820,643,28515829,0.008370216
1316,VNM,Vietnam,3.993,-3.302,5.987,7.017,"1,001.48",2.797,5.237,Vietnam,1096,35,96462108,0.031934307
1323,YEM,Yemen,-7.431,-3.823,-0.584,2.1,72.133,10,6.2,Yemen,2043,588,29161922,0.287812041
1078,ZAF,South Africa,-3.017,-6.254,-1.272,0.153,804.688,4.13,3.745,South_Africa,677833,16909,58558267,0.024945672
1330,ZMB,Zambia,0.969,-7.598,-1.517,1.52,75.857,9.8,11.7,Zambia,14830,333,17861034,0.022454484
1337,ZWE,Zimbabwe,1.133,-2.575,-9.899,-8.276,39.739,255.292,521.15,Zimbabwe,7858,228,14645473,0.029015017
